STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
725955 24259  19500316    48.5 24    30.1 24  1020.0 24   926.0 24   20.3 24   14.4 24   24.1  999.9    57.9*   43.0* 99.99  999.9  010000 
725955 24259  19500317    45.0 24    34.3 24  1016.1 24   922.4 24   21.8 24   13.4 24   22.0  999.9    51.1*   39.9* 99.99  999.9  010000 
725955 24259  19500318    38.4 24    30.6 24  1020.1 24   925.3 24   23.4 24    6.8 24   18.1  999.9    51.1*   32.0* 99.99  999.9  010000 
725955 24259  19500319    42.4 24    33.6 24  1017.7 24   923.3 24   22.0 24    6.2 24   10.1  999.9    52.0*   37.9* 99.99  999.9  010000 
725955 24259  19500320    41.2 24    30.7 24  1020.9 24   926.3 24   27.5 24    3.4 24    8.0  999.9    57.9*   30.9*  0.00I 999.9  000000 
725955 24259  19500321    44.0 24    34.4 24  1018.8 24   924.5 24   28.0 24    7.2 24   22.9  999.9    57.0*   36.0* 99.99  999.9  010000 
725955 24259  19500322    42.5 24    32.0 24  1014.4 24   920.6 24   19.9 24    7.9 24   22.0  999.9    52.0*   35.1* 99.99  999.9  010000 
725955 24259  19500323    37.4 24    27.0 24  1015.8 24   921.3 24   20.1 24   10.2 24   35.0  999.9    46.0*   34.0* 99.99  999.9  011000 
725955 24259  19500324    37.0 24    28.3 24  1006.0 24   912.4 24   19.5 24    6.5 24   25.1  999.9    46.9*   30.9* 99.99  999.9  101000 
725955 24259  19500325    36.3 24    25.2 24  1005.8 24   912.0 24   26.7 24    4.0 24    8.9  999.9    45.0*   25.0* 99.99  999.9  001000 
725955 24259  19500326    38.1 24    30.8 24  1009.0 24   915.1 24   20.7 24    5.0 24   15.0  999.9    46.0*   30.0* 99.99  999.9  010000 
725955 24259  19500327    39.7 24    26.2 24  1015.9 24   921.5 24   28.8 24    7.4 24   17.1  999.9    50.0*   28.0*  0.00I 999.9  000000 
725955 24259  19500328    36.0 24    19.8 24  1025.7 24   930.1 24   36.0 24    6.5 24   17.1  999.9    52.0*   21.9*  0.00I 999.9  000000 
725955 24259  19500329    39.1 24    19.4 24  1024.0 24   928.7 24   40.6 24    1.9 24    8.0  999.9    64.0*   23.0*  0.00I 999.9  000000 
725955 24259  19500330    52.6 24    30.8 24  1018.6 24   925.0 24   40.8 24    2.6 24    8.0  999.9    73.0*   34.0*  0.00I 999.9  000000 
725955 24259  19500331    53.0 24    33.5 24  1020.5 24   927.1 24   43.1 24    4.0 24   13.0  999.9    73.0*   35.1*  0.00I 999.9  000000 
725955 24259  19500401    53.1 24    37.8 24  1021.0 24   927.7 24   38.1 24    5.5 24   14.0  999.9    71.1*   39.0*  0.00I 999.9  000000 
725955 24259  19500402    48.8 24    35.7 24  1018.8 24   925.3 24   29.8 24    6.4 24   15.9  999.9    64.9*   35.1*  0.00I 999.9  000000 
725955 24259  19500403    42.5 24    25.5 24  1021.4 24   927.0 24   36.5 24    8.6 24   14.0  999.9    55.9*   30.9*  0.00I 999.9  000000 
